topic times:
捐助及慰问: 1
原因剖析: 1
对政府救援的批评、质疑与抗议: 1
国际社会: 2
救灾进展: 1
谣言: 1
屠杀: 1
国际反应: 2
网络: 1
安克雷奇地区: 1
地震详情: 4
次生灾害: 1
中国大陆: 2
地震参数: 1
青海全省: 1
民间质疑: 1
经济影响: 2
两岸三地: 1
哀悼: 1
交通: 4
11月9日地震: 1
哀悼日: 1
伤亡及损害: 1
地震历史: 1
情况概述: 1
能量释放: 2
震后: 2
应急预案: 1
对口援助工程: 1
铁路: 1
地震的成因: 1
本次地震成因: 1
核研究: 2
现场: 1
震后动乱: 1
其他地区: 1
与唐山大地震相比较: 1
伤亡与损失: 2
地震原因: 4
预防应急: 1
各地最大震度: 1
获救: 1
港澳地区: 1
地震消息: 1
可能发生大海啸: 1
救援事故: 2
人物事迹: 1
历史背景: 1
征兆和预警: 1
感人故事: 1
相关链接: 1
各国反应: 2
极重灾区: 1
地形地貌: 1
最多的个人和慈善组织捐助: 1
预警: 2
医疗救治: 1
地震成因: 3
地震的灾害管理: 1
待解问题: 1
广播: 1
海啸: 5
纪念碑馆: 1
中国红十字基金会: 1
引用: 1
地裂: 1
史料记载: 1
维权与诉讼: 1
地震经过: 2
root: 48
股市影响: 1
伤亡损失情况: 1
地震影响: 2
震中附近地震史: 1
台湾: 3
伤亡情况: 3
掩盖真相: 1
损失与伤亡: 1
政府和国有企业: 1
国际救援行动: 1
中外援助: 2
震级: 7
主要经过: 1
各界反应: 1
日本其他地区: 1
各方反应: 1
纪念活动: 1
正式名称: 1
捐助: 1
地震前预兆: 1
心理: 1
捐赠: 1
影响邻近: 1
未能预报原因: 1
境外援助: 1
地震防护: 1
影响范围: 1
设防环节: 1
彰化: 1
地质: 3
预报设防: 1
地震救援: 1
涉及城市: 2
高原反应: 1
百岁幸存者: 1
军队: 3
未来的威胁: 1
公路: 1
中华民国外交部批判: 1
利用地震资源: 1
核电紧急状态: 1
目击回忆: 1
香港: 3
经济冲击: 1
灾情: 4
教育与校舍: 1
智利: 1
防灾救灾: 1
加拿大: 1
海原地震考察: 1
有关校舍质量问题的争议: 1
汶川地震余震说: 1
斯里兰卡: 1
全球救援: 1
其他未直接受损但有国民死亡的国家及地区: 1
相关信息: 1
简介: 6
核泄漏: 1
一般灾区: 1
具体灾难: 1
地震危害: 1
电视: 1
震前先兆: 1
系列地震: 1
地形复杂: 1
对中国影响: 1
经验教训: 1
成因: 4
成因与地质背景: 1
参见: 1
破坏预测: 2
国际慰问: 1
地震测报: 1
道路抢修: 1
国际援助: 1
余震: 11
历次余震: 1
地震后的情况: 1
文化与古迹: 1
光荣事例: 1
延伸阅读: 1
震中位置: 1
分次地震: 1
级别: 1
地震后的动乱与暴力镇压: 1
捐献最多的公司: 1
时间: 1
地震原理: 1
民间: 2
火灾: 1
中央政府重建工程: 1
地震破坏: 1
地质影响: 1
政府救援批评: 1
地震背景: 1
地震事迹: 2
地震灾害: 1
二次事故: 1
人员死亡及财产损失: 1
全国: 1
金融证券: 1
民众与自救: 1
诉讼: 1
震后华人情况: 1
地震: 2
募捐活动: 1
震前摩擦: 1
灾区范围: 1
祈福: 1
参考文献: 1
国际: 1
伤亡与灾情: 1
产生影响: 1
交通运输: 1
蒙难之情: 1
反应: 1
澳门: 2
震中: 3
救灾援助: 1
政府及社会组织: 1
地震防御: 1
地震位置: 1
抗震精神: 1
治安: 1
山崩: 1
中国: 2
波及范围: 1
防减灾日: 1
电力: 2
各方捐助: 1
停气: 1
古文化被摧毁: 1
概述: 1
悼念活动: 1
启示: 1
亚洲: 1
火炬传递: 1
火山地震: 1
马来西亚: 1
苗栗: 1
水利建设: 1
10年重建: 1
破坏及伤亡报告: 1
停水: 1
四十周年: 1
国内援助: 1
北京奥运会: 1
传播方式: 1
美洲: 1
企业: 2
海地简介: 1
地震类型: 1
地理分布: 1
中华民国政府各界之批判: 1
南投: 1
地震烈度: 1
全国哀悼日: 1
地震序列: 1
余震未绝: 1
灾难前后: 1
以怨报德: 1
捐款去向: 2
房屋加固: 1
全国哀悼: 1
地震详述: 1
民间影响: 1
破坏情况: 3
通讯联络: 1
民间组织: 1
异常征兆研究: 1
伤亡人数: 2
建筑受损: 1
香港部分网民抗捐活动: 1
全国动员: 1
传播媒体: 1
时间分布: 2
构造地震: 1
文物古迹: 2
其他: 1
争议: 1
玉树县: 1
抗震评价: 1
破坏特点: 1
东北地区: 1
震情简介: 1
抗震救灾: 1
直接影响: 1
国内反应: 1
灾后状况: 1
诱发地震: 1
气候暖化跟地震的关联: 1
劫后余生，百年纪念: 1
大地构造: 1
4月14日: 1
灾害破坏: 1
修订: 1
影响: 10
数次地震: 1
阿拉斯加的其他地区: 1
灾后重建: 3
震级(规模): 1
媒体报道: 2
第二次: 1
地质公园: 1
新加坡: 1
地震前后全球地震情况: 2
随地震而来的大火: 1
教训与反思: 1
该地区历史地震背景: 1
消防官兵: 1
网页: 1
余震和之后发生的其他地震: 1
美国国会严词批判: 1
第二次地震: 1
书籍: 1
损害: 1
目击者: 1
人道救援: 2
纪念: 4
灾民惨状: 1
命名: 2
多国组织: 1
地震概况: 1
预警系统: 2
国内震灾捐款: 1
寓意未来: 1
苹果日报误读灾区工程豆腐渣: 1
1月12日: 1
欧洲: 2
个人: 1
伤亡: 4
伤亡损失: 1
专家详析: 1
“救援黄金72小时”全程记录: 1
工商业损失: 1
第一次: 1
引发海啸: 3
灾民安置 　: 1
台北: 1
第一次地震: 1
政府影响: 1
1月13日: 1
政府: 4
国家关怀: 1
搜救情况: 1
地震震级: 1
人员伤亡报告: 1
其他各国: 1
地震级别: 1
地震概率: 1
经济损失: 1
气候恶劣: 1
大熊猫: 1
海啸与环保: 2
相关事件: 1
国外: 1
菲律宾: 2
文学作品: 1
1月14日: 1
困难与障碍: 1
震中震源: 1
媒体评论: 1
受灾情况: 2
人工地震: 1
国际救援: 1
云林: 1
地震监测: 1
捐款: 3
财产损失: 2
损失情况: 1
美国: 3
回忆悼念: 1
详细介绍: 1
发生原因: 1
地震发生: 1
地震特性: 3
较重灾区: 1
1月15日: 1
周边影响: 1
次生影响: 1
重要日期: 1
地震统计: 1
科教文卫: 1
常见名词: 1
旧金山地震百年启示: 1
其他国家: 1
印度: 1
4月16日: 1
非政府组织: 1
基本信息: 1
濒死的拂晓: 1
地震前兆: 3
破坏现象: 1
国内社会: 1
停班停课信息: 1
引发火灾: 1
地震突袭秘鲁: 1
震后情况: 1
中华人民共和国政府有意阻挠国际救难队和救援物资抵台之争议: 1
地震理赔: 2
概况: 1
主要地震: 1
民族文化: 1
受灾实情: 1
地震情形: 1
航空: 1
国际电讯服务中断: 1
嘉义: 1
地震信息: 1
释放能量: 1
慷慨援助: 1
分析: 2
司法: 1
应急响应: 1
科研意义: 2
地震释放的能量: 2
卫生条件: 1
环境保护: 1
救援祈福: 1
核电影响: 1
地质背景: 2
概要: 2
相关作品: 1
泰国: 1
地震探索: 1
记录备忘: 1
相关知识: 1
详细参数: 1
组织机构: 1
港澳台: 1
灾区状况: 1
哀悼与纪念: 1
宏观震中: 1
金融与工业: 1
行政院陆委会批判: 1
境外: 1
纪录片: 1
地貌与水利: 3
地震预知: 1
死亡人数: 1
环境恶劣: 1
龙门山断裂带说: 1
社会捐助: 1
前震与余震纪录: 1
震后影响: 5
期刊: 1
第三次地震: 1
部分承诺捐款最多的国家和组织: 1
日本: 3
中国救助: 1
影响国家: 1
巨大损失: 1
军警: 1
人员伤亡: 3
赈济: 1
停电: 1
人心叵测: 1
厄瓜多: 1
越南: 1
日本国内: 2
震级烈度: 1
维生系统灾害状况: 1
通信交通: 1
重建: 2
震源深度: 1
抗震场地: 1
校舍安全: 1
损失: 2
地震的规模: 1
损失伤亡: 1
震源: 1
余震级别: 1
随之而来的大火: 1
纪念馆与文艺作品: 1
救援报道: 1
各国及国际组织反应: 1
卫生与污染: 1
灾民安置: 2
中华人民共和国政府阻挠救援的争议: 1
地震分布: 2
周恩来赴灾区慰问: 1
政府因应措施与民间救援: 1
自然警告信号: 1
救灾: 1
韩国: 1
赈灾情况: 1
中国的援助: 1
地震对比: 1
经济: 1
地理分布——地震带: 1
地面构造变形: 1
救灾情况: 1
中国红十字会要求国际红十字会应征得中国红十字会的允许方可援助之争议: 1
陷落地震: 1
地震预报: 1
通讯: 3
纪念馆: 1
地震应急: 1
联合国: 2
征兆与预警: 1
大堰塞湖: 1
工程抗震: 1
生态: 3
救援: 4
县市政府批判: 1
民间传说: 1
过程: 1
1906年旧金山大地震: 1
世界其他地区: 1
背景: 2
救援行动: 3
波及面: 1
海啸环保: 1
基本情况: 2
海原地震史料: 1
台中: 1
地震学的诞生: 1
地震纪念: 1
地震简介: 1
其他地震: 1
对哲学的影响: 1
专家意见: 1
造成损失: 1
援助: 3
民政抚慰: 1
中国政府回应指责: 1
具体的倒塌学校名单: 1
烈度(震度): 1
