cluster weight:
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 原因剖析#地震的成因#本次地震成因#地震原因#地震成因#汶川地震余震说#成因#成因与地质背景#地震原理#发生原因#地震发生#龙门山断裂带说:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 对政府救援的批评、质疑与抗议#民间质疑#民间#政府救援批评#中华民国政府各界之批判#美国国会严词批判#行政院陆委会批判#政府因应措施与民间救援#县市政府批判:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 国际社会#国际反应#各国反应#国际救援行动#各界反应#各方反应#全国#国际#反应#多国组织#其他各国#国外#其他国家#非政府组织#国内社会#组织机构#各国及国际组织反应:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 救灾进展#地震救援#获救#医疗救治#救灾援助#抗震救灾#人道救援#“救援黄金72小时”全程记录#搜救情况#国际救援#全球救援#中国救助#赈济#救援报道#救灾#赈灾情况#救灾情况#救援#救援行动#援助:0.25
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 谣言:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 屠杀#人心叵测:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 工商业损失:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 地震详情#地震参数#情况概述#简介#级别#时间#概述#地震详述#震情简介#地震概况#详细介绍#基本信息#概况#地震信息#地震的规模#基本情况#地震简介:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 次生灾害#二次事故#次生影响:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 中国大陆#两岸三地:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 经济影响#股市影响#经济冲击#金融证券#经济损失#金融与工业#经济:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 哀悼#哀悼日#悼念活动#全国哀悼日#全国哀悼#回忆悼念:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 交通#铁路#公路#道路抢修#交通运输:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 伤亡及损害#伤亡与损失#伤亡损失情况#伤亡情况#损失与伤亡#人员死亡及财产损失#伤亡与灾情#破坏及伤亡报告#伤亡人数#损害#灾民惨状#伤亡#伤亡损失#人员伤亡报告#财产损失#损失情况#概要#详细参数#死亡人数#巨大损失#人员伤亡#损失#损失伤亡#造成损失:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 地震历史#历史背景#史料记载#震中附近地震史#该地区历史地震背景#海原地震史料:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 震后#震后动乱#地震后的情况#地震后的动乱与暴力镇压#治安#灾后状况#震后情况:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 征兆和预警#预警#地震前预兆#震前先兆#地震测报#破坏预测#异常征兆研究#地震监测#地震前兆#地震预知#自然警告信号#地震预报#征兆与预警:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 核研究#核电紧急状态#核泄漏#核电影响:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 现场:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 与唐山大地震相比较#地震对比:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 高原反应:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 地震消息:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 可能发生大海啸#海啸#引发海啸#海啸与环保#海啸环保:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 救援事故:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 人物事迹#感人故事#百岁幸存者#目击回忆#光荣事例#目击者#濒死的拂晓:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 极重灾区#一般灾区#灾区范围#较重灾区#灾区状况:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 地形地貌#地裂#地质#地形复杂#山崩#地理分布#大地构造#地质公园#地质背景#地理分布——地震带#地面构造变形:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 最多的个人和慈善组织捐助#捐献最多的公司#企业#部分承诺捐款最多的国家和组织:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 待解问题:0.0
捐助及慰问#对口援助工程#中国红十字基金会#中外援助#捐助#捐赠#境外援助#国际慰问#国际援助#募捐活动#各方捐助#国内援助#捐款去向#香港部分网民抗捐活动#国内震灾捐款#捐款#慷慨援助#社会捐助#周恩来赴灾区慰问#中国的援助 -AND- 广播#通讯联络#国际电讯服务中断#通信交通#通讯:0.0
